name,shape,numel,layer,kind
model.layers.7.input_layernorm.weight,5120,5120,7,pre_attn_norm
model.layers.7.post_attention_layernorm.weight,5120,5120,7,post_attn_norm
model.layers.8.self_attn.q_proj.weight,5120x5120,26214400,8,attn.q_proj
model.layers.8.self_attn.k_proj.weight,5120x5120,26214400,8,attn.k_proj
model.layers.8.self_attn.v_proj.weight,5120x5120,26214400,8,attn.v_proj
model.layers.8.self_attn.o_proj.weight,5120x5120,26214400,8,attn.o_proj
model.layers.8.mlp.gate_proj.weight,13824x5120,70778880,8,mlp.gate_proj
model.layers.8.mlp.up_proj.weight,13824x5120,70778880,8,mlp.up_proj
model.layers.8.mlp.down_proj.weight,5120x13824,70778880,8,mlp.down_proj
model.layers.8.input_layernorm.weight,5120,5120,8,pre_attn_norm
model.layers.8.post_attention_layernorm.weight,5120,5120,8,post_attn_norm
model.layers.9.self_attn.q_proj.weight,5120x5120,26214400,9,attn.q_proj
model.layers.9.self_attn.k_proj.weight,5120x5120,26214400,9,attn.k_proj
model.layers.9.self_attn.v_proj.weight,5120x5120,26214400,9,attn.v_proj
model.layers.9.self_attn.o_proj.weight,5120x5120,26214400,9,attn.o_proj
model.layers.9.mlp.gate_proj.weight,13824x5120,70778880,9,mlp.gate_proj
model.layers.9.mlp.up_proj.weight,13824x5120,70778880,9,mlp.up_proj
model.layers.9.mlp.down_proj.weight,5120x13824,70778880,9,mlp.down_proj
model.layers.9.input_layernorm.weight,5120,5120,9,pre_attn_norm
model.layers.9.post_attention_layernorm.weight,5120,5120,9,post_attn_norm
model.layers.10.self_attn.q_proj.weight,5120x5120,26214400,10,attn.q_proj
model.layers.10.self_attn.k_proj.weight,5120x5120,26214400,10,attn.k_proj
model.layers.10.self_attn.v_proj.weight,5120x5120,26214400,10,attn.v_proj
model.layers.10.self_attn.o_proj.weight,5120x5120,26214400,10,attn.o_proj
model.layers.10.mlp.gate_proj.weight,13824x5120,70778880,10,mlp.gate_proj
model.layers.10.mlp.up_proj.weight,13824x5120,70778880,10,mlp.up_proj
model.layers.10.mlp.down_proj.weight,5120x13824,70778880,10,mlp.down_proj
model.layers.10.input_layernorm.weight,5120,5120,10,pre_attn_norm
model.layers.10.post_attention_layernorm.weight,5120,5120,10,post_attn_norm
model.layers.11.self_attn.q_proj.weight,5120x5120,26214400,11,attn.q_proj
model.layers.11.self_attn.k_proj.weight,5120x5120,26214400,11,attn.k_proj
model.layers.11.self_attn.v_proj.weight,5120x5120,26214400,11,attn.v_proj
model.layers.11.self_attn.o_proj.weight,5120x5120,26214400,11,attn.o_proj
model.layers.11.mlp.gate_proj.weight,13824x5120,70778880,11,mlp.gate_proj
model.layers.11.mlp.up_proj.weight,13824x5120,70778880,11,mlp.up_proj
model.layers.11.mlp.down_proj.weight,5120x13824,70778880,11,mlp.down_proj
model.layers.11.input_layernorm.weight,5120,5120,11,pre_attn_norm
model.layers.11.post_attention_layernorm.weight,5120,5120,11,post_attn_norm
model.layers.12.self_attn.q_proj.weight,5120x5120,26214400,12,attn.q_proj
model.layers.12.self_attn.k_proj.weight,5120x5120,26214400,12,attn.k_proj
model.layers.12.self_attn.v_proj.weight,5120x5120,26214400,12,attn.v_proj
model.layers.12.self_attn.o_proj.weight,5120x5120,26214400,12,attn.o_proj
model.layers.12.mlp.gate_proj.weight,13824x5120,70778880,12,mlp.gate_proj
model.layers.12.mlp.up_proj.weight,13824x5120,70778880,12,mlp.up_proj
model.layers.12.mlp.down_proj.weight,5120x13824,70778880,12,mlp.down_proj
model.layers.12.input_layernorm.weight,5120,5120,12,pre_attn_norm
model.layers.12.post_attention_layernorm.weight,5120,5120,12,post_attn_norm
model.layers.13.self_attn.q_proj.weight,5120x5120,26214400,13,attn.q_proj
model.layers.13.self_attn.k_proj.weight,5120x5120,26214400,13,attn.k_proj
model.layers.13.self_attn.v_proj.weight,5120x5120,26214400,13,attn.v_proj
model.layers.13.self_attn.o_proj.weight,5120x5120,26214400,13,attn.o_proj
model.layers.13.mlp.gate_proj.weight,13824x5120,70778880,13,mlp.gate_proj
model.layers.13.mlp.up_proj.weight,13824x5120,70778880,13,mlp.up_proj
model.layers.13.mlp.down_proj.weight,5120x13824,70778880,13,mlp.down_proj
model.layers.13.input_layernorm.weight,5120,5120,13,pre_attn_norm
model.layers.13.post_attention_layernorm.weight,5120,5120,13,post_attn_norm
model.layers.14.self_attn.q_proj.weight,5120x5120,26214400,14,attn.q_proj
model.layers.14.self_attn.k_proj.weight,5120x5120,26214400,14,attn.k_proj
model.layers.14.self_attn.v_proj.weight,5120x5120,26214400,14,attn.v_proj
model.layers.14.self_attn.o_proj.weight,5120x5120,26214400,14,attn.o_proj
model.layers.14.mlp.gate_proj.weight,13824x5120,70778880,14,mlp.gate_proj
model.layers.14.mlp.up_proj.weight,13824x5120,70778880,14,mlp.up_proj
model.layers.14.mlp.down_proj.weight,5120x13824,70778880,14,mlp.down_proj
model.layers.14.input_layernorm.weight,5120,5120,14,pre_attn_norm
model.layers.14.post_attention_layernorm.weight,5120,5120,14,post_attn_norm
model.layers.15.self_attn.q_proj.weight,5120x5120,26214400,15,attn.q_proj
model.layers.15.self_attn.k_proj.weight,5120x5120,26214400,15,attn.k_proj
model.layers.15.self_attn.v_proj.weight,5120x5120,26214400,15,attn.v_proj
model.layers.15.self_attn.o_proj.weight,5120x5120,26214400,15,attn.o_proj
model.layers.15.mlp.gate_proj.weight,13824x5120,70778880,15,mlp.gate_proj
model.layers.15.mlp.up_proj.weight,13824x5120,70778880,15,mlp.up_proj
